ccode,year,styear,endyear,lqgia,qgia,qgig,lqgia1,qgia1,qgig1,pcig,pci,infla,loda,oda,lremit,remit,ltrade,trade,popg,lxrate,xrate,lforce,pop,linvest,invest,gfcf,mob,aidi,rents,fdif,lfdis,fdis,lgexped,gexped,lgexhpc,gexhpc,lgexhgdp,gexhgdp,gexhpcp,exexph,va,psavt,ge,rq,rl,cc,lgpva,gpva,govg,dcred,lfd,fd,fi,fm,fid,fia,fie,fmd,fma,fme,ldepen,depen,ldepen_old,depen_old,ldepen_young,depen_young,time,sinfla,cname,cticker
39,1999,1995,1999,-1.6222119,.19746144,.052578319,-1.5470039,.21288486,.06316229,-.4654316,1430.9572,25.277601,-.95268321,.3857047,.046220984,1.0473058,3.7134919,40.996712,2.4910569,3.5829067,35.977966,38365936,113530920,3.6169214,37.222801,38.208252,.015214105,8.6085939,16.651392,13.264904,5.1543388,173.18124,,,1.1780224,3.2479446,-.53512836,.58559412,13.968448,12.940951,.60520095,.7784369,.62778372,.6198681,.68782216,.62330562,-.41996539,.65706956,.65414888,7.1004014,-1.7879314,.16730589,.15133245,.17818242,.044615582,.050588176,.4352338,.048779611,.46001428,.042382799,4.4804354,88.273079,1.7786961,5.9221296,4.4109902,82.350952,1 1995:1999,3.2299187,Nigeria,NGA
39,2004,2000,2004,-1.5717443,.20768261,.056954227,-1.4832618,.22689639,.082814075,5.8629122,1655.2705,17.206387,-1.1232888,.32520851,.40904054,1.5053728,3.7839265,43.988422,2.5267801,4.78016,119.12342,43458444,128699008,3.3826191,29.4478,29.058006,2.1209197,8.6424522,16.309349,13.788708,5.3558097,211.83539,,,1.8235116,6.1935697,-.19687115,.82129645,23.863546,8.4062386,.73060262,.78502709,.67048877,.65623182,.68268937,.62454385,-.36875147,.69159728,.68937314,8.7170572,-1.744746,.17468935,.15610291,.18795396,.042551707,.051980052,.45497313,.021619543,.50170952,.063640632,4.4629025,86.738899,1.7533274,5.7737823,4.3940187,80.965118,2 2000:2004,2.8452806,Nigeria,NGA
39,2009,2005,2009,-1.5599263,.21015155,.042053062,-2.4440608,.086807616,.086807616,4.0080757,2101.8398,11.886019,.75214124,2.1215379,1.9172131,6.8019757,3.6471117,38.363701,2.6282985,4.872416,130.63615,49234728,146467568,3.7454536,42.328201,22.257576,30.773726,9.9996796,17.078159,44.548767,5.5749555,263.73782,,,2.6026897,13.500002,-.21012288,.81048465,32.061436,9.3136148,.70458585,.70062864,.68886256,.67738348,.6890794,.65080732,-.37800872,.68522453,.68464839,13.722218,-1.482685,.2270273,.19492653,.25221178,.053096104,.081598133,.54044944,.062996835,.50154275,.21836305,4.469677,87.328506,1.7440951,5.7207222,4.4019246,81.607788,3 2005:2009,2.4753628,Nigeria,NGA
39,2014,2010,2014,-1.5175565,.21924695,.046473481,-1.3705783,.25396004,.1129602,3.3048837,2530.7815,9.139246,-.69135505,.50089687,1.5257391,4.5985408,3.7040889,40.613026,2.6744344,5.0466771,155.50487,53571480,167341568,3.8189292,45.555401,15.190941,66.764992,15.904036,14.951359,39.023426,6.3949332,598.80322,,,2.5904701,13.336039,-.73088032,.48148495,26.409468,17.687021,.71679312,.614941,.69841552,.65916443,.69589722,.66322762,-.39342809,.67473984,.67379415,11.993859,-1.5388941,.21461833,.2114552,.21124318,.056376353,.12450292,.52846617,.051018022,.48637787,.11797619,4.4812016,88.340775,1.7432107,5.7156653,4.4143138,82.625107,4 2010:2014,2.2125778,Nigeria,NGA
39,2019,2015,2019,-1.4396024,.237022,.064598151,-1.2755005,.27929112,.14730348,-1.409193,2561.4331,8.8279037,-.28771761,.74997336,1.6640657,5.2807374,3.2990501,27.086897,2.6068344,5.609272,272.9454,58288628,190961840,3.846524,46.830002,17.582273,84.445671,21.563557,7.8272352,12.711203,6.2997818,544.453,,,2.5145926,12.361571,-.59664017,.55065864,32.870068,19.880264,.76914978,.59820312,.69280416,.64539337,.68961895,.66743159,-.38993603,.67710018,.67503273,12.388578,-1.4893076,.22552875,.2340145,.21017236,.065678596,.1247761,.60108572,.063553259,.50285506,.082982436,4.4731989,87.636627,1.7256519,5.6161809,4.4069686,82.020447,5 2015:2019,2.1779175,Nigeria,NGA
40,1999,1995,1999,-1.445897,.23553471,.057055548,-1.2550334,.28506634,.12711892,10.167528,330.3837,18.214003,3.297153,27.035559,-.43429762,.64771944,3.4197965,30.563192,4.6797991,5.7149124,303.3576,3237685,6546707.5,2.6379423,13.9844,13.675878,.043690544,13.561934,10.723142,.4733929,2.1499331,8.5842838,1.3508174,3.86058,.52164555,1.6847978,-.2606481,.77055204,4.9153242,12.665224,.58062071,.65777397,.64604056,.60286486,.5839659,.58269733,-.49594703,.60899389,.60802257,8.0880194,-2.2242997,.10814314,.18795246,.025039284,.048043665,.003985812,.6504215,.06662105,0,.0000142,4.4463701,85.316704,1.1977977,3.3128128,4.4067669,82.003891,1 1995:1999,2.9021907,Rwanda,RWA
40,2004,2000,2004,-1.4124423,.24354774,.039174538,-1.1894423,.30439097,.14790893,4.8315644,386.17606,5.8260422,2.8535554,17.349358,-.94164872,.38998434,3.3820159,29.430038,2.920258,6.1833887,484.63147,4024348.5,8365915,2.6342602,13.933,13.05203,1.0735861,13.586771,6.5844555,.97656238,1.9691088,7.164289,1.3975548,4.0452962,1.1730074,3.2316968,.3840636,1.4682388,11.397069,18.915813,.58938313,.54359907,.65097761,.58793837,.58244336,.5616672,-.53443301,.58600146,.58481139,9.2045584,-2.2699859,.10331362,.17478566,.028694177,.063903838,.0045676059,.57194543,.076345481,0,.0000163,4.4835334,88.546997,1.6267153,5.0871377,4.424366,83.459862,2 2000:2004,1.7623379,Rwanda,RWA
40,2009,2005,2009,-1.2808558,.27779946,.044089306,-1.6120247,.19948332,.19948332,6.1625452,516.50751,9.2051172,2.9140997,18.432211,-4.6051702,.0099999998,3.5718892,35.583755,2.3908341,6.3177485,554.32361,4569053,9292925,2.9319189,18.763599,17.409904,10.312808,14.690178,6.5309396,7.2063661,3.0513451,21.143766,1.333443,3.7940841,2.0603173,7.8484588,.59626257,1.8153214,20.793289,50.039204,.62370461,.49129212,.64297718,.62389743,.60622513,.60170317,-.51366311,.59829992,.595842,11.734136,-2.377146,.092815101,.15080686,.031995766,.077122211,.029008551,.41581696,.085129894,0,.0000181,4.390605,80.689209,1.6600257,5.2594461,4.3232021,75.429764,3 2005:2009,2.2197595,Rwanda,RWA
40,2014,2010,2014,-1.1703558,.31025654,.051331431,-.92664087,.3958813,.25980219,4.3264112,658.01544,4.5046492,2.6968403,14.832788,.79395813,2.2121351,3.7098963,40.849575,2.4969296,6.4383297,625.36127,5231101.5,10555501,3.1512051,23.364201,21.877172,52.850498,17.783922,6.5266256,25.184227,4.2178664,67.888474,1.4990443,4.4774079,2.6956272,14.814809,.78959668,2.202508,34.867149,60.760387,.62403208,.46391135,.63204545,.63907015,.60730517,.58256203,-.52511436,.59148771,.5879885,16.639328,-2.2290509,.10763053,.1729439,.039038233,.1020343,.08032643,.37638342,.10386751,0,.000022099999,4.3557024,77.921524,1.6838336,5.3861647,4.2840743,72.535362,4 2010:2014,1.50511,Rwanda,RWA
40,2019,2015,2019,-1.0968641,.33391657,.063265085,-.84113592,.43122041,.30635002,4.6058941,805.57733,3.1106939,2.5540545,12.859136,.8238259,2.2792032,3.9593272,52.422047,2.6072662,6.7090869,819.82184,6009359,11989552,3.194206,24.3908,24.735586,76.491966,20.678694,5.1046991,30.311796,5.0976377,163.63486,1.2024653,3.3283119,2.8489847,17.270237,.82982951,2.2929277,47.998981,57.400616,.64418262,.48314363,.64084536,.61752248,.63933498,.59936261,-.50407296,.6040653,.60109538,20.982372,-2.0950768,.12306079,.20559047,.036782097,.11902408,.090308666,.45976326,.097864665,0,.000020900001,4.3238606,75.479454,1.6499661,5.2068033,4.2523828,70.272652,5 2015:2019,1.1348459,Rwanda,RWA
